feed_id,lounge_id,lounge_name,board_id,board_name,title,title_folder,author,author_level,created_at,updated_at,view_count,comment_count,buff_count,nerf_count,is_pinned,content_type,content_text,image_urls,links,url
1577653,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] 순수한 불순물 - 완숙(?),[웹툰] 순수한 불순물 - 완숙(_),GM 이수연,15,2023-02-15T20:16:46+09:00,2023-02-15T20:16:46+09:00,1562,2,13,0,False,json,,https://nng-phinf.pstatic.net/MjAyMzAyMTVfMTU1/MDAxNjc2NDU5Nzk0ODgw.C6bMjkvdr6atyUlrMGfjkSgTtQ_oBtPlciO81jkntxsg.4cKVHV6O9pd60VxYa4r_68hx7ByRhzePRCl0bhUgbI8g.JPEG/size20%ED%99%94.jpg?type=w1678,,https://game.naver.com/lounge/COUNTERSIDE/board/detail/1577653
1577651,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] WINDY - 새내기 점장님,[웹툰] WINDY - 새내기 점장님,GM 이수연,15,2023-02-15T20:16:14+09:00,2023-02-15T20:16:14+09:00,1131,1,12,0,False,json,,https://nng-phinf.pstatic.net/MjAyMzAyMTVfMTMw/MDAxNjc2NDU5NzQ5NTMw.0nFiuBa3TtsJpUBVy_cLXSWztt1Rc8zmUfWRRQCm4Ewg.1QJSZG8LtkujjjzpAPmIsbQJ3va_KtIz6mou30FfMHcg.PNG/13%ED%99%94%EC%88%98%EC%A0%95221031PNG.png?type=w1678,,https://game.naver.com/lounge/COUNTERSIDE/board/detail/1577651
1577647,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] WINDY - 의장님 화법,[웹툰] WINDY - 의장님 화법,GM 이수연,15,2023-02-15T20:15:33+09:00,2023-02-15T20:15:33+09:00,1118,1,10,0,False,json,,https://nng-phinf.pstatic.net/MjAyMzAyMTVfNjAg/MDAxNjc2NDU5NzA1NzA3.CAmOCQJ2_SoyTrnPhS3WXe-E04A2evQfZFGVUHS-6pYg.HRIGBKO2tZXxQt_kGivzQ7z4qOnCpQUT0XwhcVlY7zwg.PNG/12%ED%99%94%EC%88%98%EC%A0%95220927PNG.png?type=w1678,,https://game.naver.com/lounge/COUNTERSIDE/board/detail/1577647
1577643,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] 네모가 - 비밀 거래,[웹툰] 네모가 - 비밀 거래,GM 이수연,15,2023-02-15T20:14:54+09:00,2023-02-15T20:14:54+09:00,1362,1,13,0,False,json,,"https://nng-phinf.pstatic.net/MjAyMzAyMTVfNDcg/MDAxNjc2NDU5NjcyNjY0.UVw3GyMr2QisFDCXqBNb9XhkFDCfoiK1KWzdjDGsDnMg.bVajnp2tchBdeajcx8FxTkYpvv_0qdyYKqgM6BEZq-4g.PNG/12%ED%99%94%EC%99%84%EC%84%B1%EC%9B%90%EA%B3%A0.png?type=w1678
https://nng-phinf.pstatic.net/MjAyMzAyMTVfMzUg/MDAxNjc2NDU5Njc1MDA1.yVLlqHJ4LufwJ9qKcV2WvJATvTdDztd21l2IDLcjiswg.oRskiEk3BRKPqgxbPTAgFEpo2HOp7pX9yWHiM1kIkBIg.PNG/12%ED%99%94%EC%A7%9C%ED%88%AC%EB%A6%AC%EC%BB%B7.png?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/1577643
1577639,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] 네모가 - 시그마는 대단해!,[웹툰] 네모가 - 시그마는 대단해!,GM 이수연,15,2023-02-15T20:14:21+09:00,2023-02-15T20:14:21+09:00,1711,2,14,0,False,json,,"https://nng-phinf.pstatic.net/MjAyMzAyMTVfMTcz/MDAxNjc2NDU5NjQ3MDgy.NULgWC386rhjE-Gs4e3r-pzmXDWOuRBHq7qv0GnCoW8g.1Rfm46jwvFh4J9zjgaMS0S-jOGxj-Rsg20l9p28Mpy4g.PNG/10%ED%99%94%EC%99%84%EC%84%B1%EC%9B%90%EA%B3%A0.png?type=w1678
https://nng-phinf.pstatic.net/MjAyMzAyMTVfMTMy/MDAxNjc2NDU5NjQ5MTk5.O4xLRUOF1MLfLVfPadi3BKoQ8enf30jjPibkL6gGXWgg.b3WuMJYPxyH3DBcYQaA1cnCKohHyOeadaobtqmGIMgMg.PNG/10%ED%99%94%EC%A7%9C%ED%88%AC%EB%A6%AC%EC%BB%B7%EC%8A%A4%ED%8A%B8%EB%A1%9C%ED%81%AC.png?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/1577639
1577630,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] WINDY - 얼터그레시브,[웹툰] WINDY - 얼터그레시브,GM 이수연,15,2023-02-15T20:13:36+09:00,2023-02-15T20:13:36+09:00,1215,0,11,0,False,json,,https://nng-phinf.pstatic.net/MjAyMzAyMTVfNSAg/MDAxNjc2NDU5NTg5OTA1.PDq-zJ7bpLED_8qeaDQOAODla5G9WASbh5DWfFGTo7kg.VkXFBV2UN-RBWPsPSC0iWBocEMUGS0Xr1ghI8jkMEh0g.PNG/11%ED%99%94%EC%88%98%EC%A0%95220928PNG.png?type=w1678,,https://game.naver.com/lounge/COUNTERSIDE/board/detail/1577630
1577071,COUNTERSIDE,카운터사이드,24,공식 웹툰,"[웹툰] MMM - 도와줘요, 플로라 메이드 서비스!","[웹툰] MMM - 도와줘요, 플로라 메이드 서비스!",GM 이수연,15,2023-02-15T18:41:47+09:00,2023-02-15T18:41:47+09:00,2839,5,18,1,False,json,,"https://nng-phinf.pstatic.net/MjAyMzAyMTVfODgg/MDAxNjc2NDUzMTk3OTQ4.QPZzdglzTieIqqUwgwNRKij9RzA3yhtLyna8kdQJeX8g.CDa38t9pIqQPQrOGq07JrQXycfyhVuUHQEfz9Sqdwwog.PNG/01.png?type=w1678
https://nng-phinf.pstatic.net/MjAyMzAyMTVfMjc4/MDAxNjc2NDUzMjAyOTE0.9HlhHqbAm_5nmjx5NoAz46XYuNK8U6pLoaA4ZuMthxUg.uYyLrfHHUDFMA4HSHDpMMacMLU7NwOh5dEJVBojWNA0g.PNG/02.png?type=w1678
https://nng-phinf.pstatic.net/MjAyMzAyMTVfODgg/MDAxNjc2NDUzOTU0ODI3.rDb4--HITJ4pm9HUBktg2WJ86M_XnzHGdOXEcigE3pEg.TZ_3Hb-Eqdd2HgU-PAIst7jqMsTvIuqZkhwq3j_xeJEg.JPEG/03.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyMzAyMTVfMjI3/MDAxNjc2NDUzOTU1NTk5.TzhrP2B1_KeL16hzXVqimMiegSqmw5Brvkw_yo_bWCQg.egV9vwlevJiqLo8tn6Zm32a2ek-v6MZR0Yd1qRCQXQEg.JPEG/04.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyMzAyMTVfMTY1/MDAxNjc2NDU0MDc0NTMy.qU1tyjkvOkm0rYOIoLekGNK_RQRtzTmk8ooTl-7H32og.UHjtDpV6Jqg1wIskcIF39v74g-Exuuzob_Oa18-rWvQg.JPEG/05.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyMzAyMTVfMjE1/MDAxNjc2NDU0MDc5Mjg2.vCo4NF972HkpEKHyQ1ifHyH5fCmiCQXSq4P3N9F55Ykg.bmH-TlBVXv0HHoO-YnUmQ7AHO3mcl_mk_3z1kpu-Bfsg.JPEG/06.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyMzAyMTVfMTMg/MDAxNjc2NDU0MDg0MTA3.901c2BtiIBqpXj6EudPqymrGY3-brEruip-Jz61P-iog.1W7Ih1_G-ONIYok4q3qY9Neo_4UmXOTVQ1vDKWd1RJ8g.JPEG/07(%EC%88%98%EC%A0%95).jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyMzAyMTVfMjM1/MDAxNjc2NDU0MDg5Nzcx.V-_oM0_NaJzRhiXdavs-W79H3HSGkhWLWCvnfdMIfVcg.XqslZs319Mi736fAjAmKGJvIwkdiIxEcTZKDAdSk1IYg.JPEG/08.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyMzAyMTVfMjgx/MDAxNjc2NDU0MDkzNTAw.rcuc70s5p0ntHY3-tKZ9pjNGHNK_1tiQ0zYBgjSAHzkg.oEwpVYYWRUzQYOUFOaxO0AJvzOFctd6ltCjdtMETX5wg.JPEG/09(%EC%88%98%EC%A0%95).jpg?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/1577071
1576931,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] 순수한 불순물 - 전문가의 손길,[웹툰] 순수한 불순물 - 전문가의 손길,GM 이수연,15,2023-02-15T18:24:24+09:00,2023-02-15T18:24:24+09:00,1527,1,13,0,False,json,,"https://nng-phinf.pstatic.net/MjAyMzAyMTVfMTk5/MDAxNjc2NDUzMDM1MTg1.0oZlb6ZVlXcvFq6ORV-sPjHGhpK36uGESISIS5SCUa0g.fyKw3W8s94gDrKof1flIyTLFFaUB1Qhs1Io1xsaT6NAg.JPEG/size19.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyMzAyMTVfMTIg/MDAxNjc2NDUzMDM2OTE1.KlP1gO1oXN4GvMPjUNqamVsCEHVmJ2uLHQilnYDJvXEg.2gK_9XLLWa3Zymp-aCcoFjafQnKQ34voGNSvtHaLzmUg.JPEG/size192.jpg?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/1576931
1576926,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] WINDY - 아카데미 극장!,[웹툰] WINDY - 아카데미 극장!,GM 이수연,15,2023-02-15T18:23:38+09:00,2023-02-15T18:23:38+09:00,957,1,13,0,False,json,,https://nng-phinf.pstatic.net/MjAyMzAyMTVfMTM3/MDAxNjc2NDUzMDA3OTM0.s836H8aV04ZfXBpQuQdC2Jk1Mgkrll1RaT5znr0wF2wg.DjLUyXLpT4FPk2qJDUgGcSIjL0aNBi-A1T8Wv1cykLYg.PNG/10%ED%99%94%EC%99%84%EC%84%B1220827PNG.png?type=w1678,,https://game.naver.com/lounge/COUNTERSIDE/board/detail/1576926
1576905,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] 네모가 - 폐허에서 시작하는 이세계 카페생활,[웹툰] 네모가 - 폐허에서 시작하는 이세계 카페생활,GM 이수연,15,2023-02-15T18:21:42+09:00,2023-02-15T18:21:42+09:00,1243,0,11,0,False,json,,"https://nng-phinf.pstatic.net/MjAyMzAyMTVfMjg1/MDAxNjc2NDUyODY2MzU1.K3H5LrzB_wvlfnJjYXprbtoQ5zRhI2grTViT7LncVDQg.0mh6iACNkwy7eKaSU_yyqVPKfWGCBa_MRGCcoSgG76cg.PNG/11%ED%99%94%EC%99%84%EC%84%B1%EC%9B%90%EA%B3%A0.png?type=w1678
https://nng-phinf.pstatic.net/MjAyMzAyMTVfMjU0/MDAxNjc2NDUyODY4MTI2.uCgy_Lyw9PpPb3A05wq3AfZJJGJRJ5QU5Cod-q2mYGUg.2ruVTDbMMhJOrKf9blWbsbJOpmAl19fUbYvs3yzMDQIg.PNG/11%ED%99%94%EC%A7%9C%ED%88%AC%EB%A6%AC%EC%BB%B7.png?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/1576905
